org_id,asn
ORG-DIC1-RIPE,57187
ORG-DIC1-RIPE,197911
ORG-EA2-AP-APNIC,131284
ORG-EB1-AFRINIC,37136
ORG-EM1-AFRINIC,36992
ORG-ETC1-RIPE,5384
ORG-ETC1-RIPE,8959
ORG-ETC1-RIPE,8960
ORG-ETC1-RIPE,8961
ORG-ETC1-RIPE,8966
ORG-ETC1-RIPE,59981
ORG-ETC1-RIPE,59982
ORG-ETC1-RIPE,59983
ORG-ONDP1-AFRINIC,36903
ORG-ONDP1-AFRINIC,36956
ORG-MCS5-AFRINIC,327802
ORG-SSCC1-RIPE,198247
ORG-SSCC1-RIPE,198381
ORG-SSCC1-RIPE,198394
ORG-SSCC1-RIPE,198504
ORG-SSCC1-RIPE,206283
ORG-SSCC1-RIPE,206284
ORG-TSTC1-RIPE,44703
ORG-AA137-RIPE,34170
ORG-BA2-RIPE,28787
ORG-ATJ1-RIPE,31721
ORG-IOMO1-RIPE,196821
ORG-SEHA1-RIPE,201590
ORG-SIG9-RIPE,198876
ORG-HM1-RIPE,20875
ORG-PEOP1-RIPE,9146
ORG-BA4-RIPE,5432
ORG-BA4-RIPE,5488
ORG-BA4-RIPE,28704
ORG-BA4-RIPE,29005
ORG-BICS2-RIPE,5560
ORG-BICS2-RIPE,6774
ORG-TMS6-RIPE,48526
ORG-TMS6-RIPE,56665
ORG-TMS6-RIPE,204313
ORG-UBNB1-RIPE,1891
ORG-UBNB1-RIPE,3304
ORG-UBNB1-RIPE,8644
ORG-BA242-RIPE,44814
ORG-BA6-RIPE,5416
ORG-BA6-RIPE,15539
ORG-DP1-AP-APNIC,7642
ORG-DP1-AP-APNIC,135053
ORG-NETS1-RIPE,9038
ORG-SGL2-AP-APNIC,17458
ORG-RAB1-RIPE,6697
ORG-MTJ1-RIPE,25106
ORG-BCTJ1-RIPE,60330
ORG-BCTJ1-RIPE,205475
ORG-RUET1-RIPE,35647
ORG-RUET1-RIPE,60280
ORG-FA7-RIPE,12874
ORG-SI1-RIPE,3303
ORG-SI1-RIPE,6837
ORG-SI1-RIPE,8300
ORG-SI1-RIPE,21273
ORG-SI1-RIPE,202088
ORG-SI1-RIPE,205762
ORG-CTA2-RIPE,6866
ORG-CTA2-RIPE,41657
ORG-CA786-RIPE,39791
ORG-CTS25-RIPE,64411
ORG-CTS25-RIPE,205087
ORG-RRDT1-RIPE,60174
ORG-GA14-RIPE,21214
ORG-JT7-RIPE,8681
ORG-GNC1-RIPE,8301
ORG-GNC1-RIPE,205369
ORG-GNC1-RIPE,205707
ORG-TG8-RIPE,8818
ORG-OIVD1-RIPE,48797
ORG-AT2-RIPE,8990
ORG-AT2-RIPE,20568
ORG-HDTK1-RIPE,41885
ORG-HPCL1-RIPE,47169
ORG-HPCL1-RIPE,196958
ORG-TIC4-RIPE,48159
ORG-TIC4-RIPE,49666
ORG-TIC4-RIPE,50722
ORG-ICSA1-RIPE,44244
ORG-ITCP1-RIPE,58224
ORG-MCCO2-RIPE,43358
ORG-MCCO2-RIPE,197207
ORG-TCOI1-RIPE,12880
ORG-TCOI1-RIPE,60148
ORG-PI25-RIPE,43976
ORG-PS11-RIPE,15720
ORG-JK1-RIPE,12997
ORG-ATC4-RIPE,50223
ORG-PDTI1-RIPE,8661
ORG-KDNA1-RIPE,5434
ORG-KDNA1-RIPE,8825
ORG-KDNA1-RIPE,9198
ORG-KDNA1-RIPE,39725
ORG-KDNA1-RIPE,50482
ORG-GKOK1-RIPE,29355
ORG-JA4-RIPE,29555
ORG-TA44-RIPE,48503
ORG-LA84-RIPE,42003
ORG-LA84-RIPE,42020
ORG-LLTA1-RIPE,20634
ORG-SRAT1-RIPE,15419
ORG-SRAT1-RIPE,44771
ORG-EDPE1-RIPE,6661
ORG-LA16-RIPE,6747
ORG-LA16-RIPE,6906
ORG-LA16-RIPE,12578
ORG-MS14-RIPE,8926
ORG-MS14-RIPE,31580
ORG-MS14-RIPE,41221
ORG-DTC1-AP-APNIC,9587
ORG-DTC1-AP-APNIC,133543
ORG-DTSB1-AP-APNIC,4818
ORG-GL6-AP-APNIC,24389
ORG-NA38-RIPE,2119
ORG-NA38-RIPE,8210
ORG-NA38-RIPE,8394
ORG-NA38-RIPE,8786
ORG-NA38-RIPE,39197
ORG-SA20-RIPE,6785
ORG-SA20-RIPE,9158
ORG-TACP1-AP-APNIC,10089
ORG-TACP1-AP-APNIC,17724
ORG-TACP1-AP-APNIC,24378
ORG-TM1-AP-APNIC,133385
ORG-TPL5-AP-APNIC,24499
ORG-VSA1-RIPE,25169
ORG-TGSA1-RIPE,15932
ORG-MCPA1-RIPE,42980
ORG-MEA38-RIPE,5377
ORG-MEA38-RIPE,8264
ORG-MEA38-RIPE,8841
ORG-MEA38-RIPE,9207
ORG-MEA38-RIPE,44933
ORG-TBHA1-RIPE,43905
ORG-TBHA1-RIPE,47152
ORG-TBHA1-RIPE,47153
ORG-TGSA1-RIPE,15932
ORG-FNL1-RIPE,6793
ORG-FNL1-RIPE,8236
ORG-FNL1-RIPE,12375
ORG-FNL1-RIPE,12918
ORG-FNL1-RIPE,15501
ORG-FNL1-RIPE,15970
ORG-FNL1-RIPE,16086
ORG-FNL1-RIPE,20542
ORG-FNL1-RIPE,49422
ORG-NA404-RIPE,197943
ORG-OA21-RIPE,33885
ORG-GTO1-RIPE,8529
ORG-GTO1-RIPE,28885
ORG-TS16-RIPE,6778
ORG-TS16-RIPE,20804
ORG-TS16-RIPE,35253
ORG-RTSD1-RIPE,29003
ORG-ACL18-RIPE,51684
ORG-ISPL4-AP-APNIC,131219
ORG-OML2-AP-APNIC,132167
ORG-OMPL1-AP-APNIC,55944
ORG-OQTC1-RIPE,50010
ORG-OQTC1-RIPE,201413
ORG-PIMM1-AP-APNIC,4795
ORG-PIMM1-AP-APNIC,24052
ORG-PIMM1-AP-APNIC,38490
ORG-PIT1-AP-APNIC,4761
ORG-PIT1-AP-APNIC,17922
ORG-PIT1-AP-APNIC,45239
ORG-QT1-RIPE,8781
ORG-QT1-RIPE,34796
ORG-QT1-RIPE,42298
ORG-QT1-RIPE,59966
ORG-TS4-AFRINIC,37693
ORG-WPMT1-RIPE,48966
ORG-WT1-RIPE,29357
ORG-WTA1-AFRINIC,33779
ORG-SRS3-RIPE,15471
ORG-TS21-RIPE,8400
ORG-DZTD1-RIPE,43940
ORG-DZTD1-RIPE,201777
ORG-LIEA1-RIPE,16178
ORG-MAG9-RIPE,200724
ORG-TS1-RIPE,25144
ORG-YI2-RIPE,8771
ORG-ENAD1-RIPE,44252
ORG-PZPP1-RIPE,51052
ORG-PZPU1-RIPE,44323
ORG-RVD1-RIPE,41937
ORG-YI2-RIPE,8771
ORG-EKD1-RIPE,198252
ORG-CJSC19-RIPE,8485
ORG-CJSC19-RIPE,12688
ORG-CJSC19-RIPE,15774
ORG-CJSC19-RIPE,16285
ORG-CJSC19-RIPE,20485
ORG-CJSC19-RIPE,20870
ORG-CJSC19-RIPE,21191
ORG-CJSC19-RIPE,21438
ORG-CJSC19-RIPE,24626
ORG-CJSC19-RIPE,24923
ORG-CJSC19-RIPE,28745
ORG-CJSC19-RIPE,28906
ORG-CJSC19-RIPE,31364
ORG-CJSC19-RIPE,31501
ORG-CJSC19-RIPE,35641
ORG-CJSC19-RIPE,39660
ORG-CJSC19-RIPE,43782
ORG-CJSC19-RIPE,44775
ORG-CJSC19-RIPE,47241
ORG-CJSC19-RIPE,47313
ORG-CJSC19-RIPE,49301
ORG-CJSC19-RIPE,50714
ORG-CJSC19-RIPE,51003
ORG-CJSC19-RIPE,51543
ORG-CJSC19-RIPE,51813
ORG-CJSC19-RIPE,56830
ORG-CJSC19-RIPE,61245
