asn,conglomerate,org_id,org_name,ownership_percentage,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
55790,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
55844,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
55867,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
55868,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
58544,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
58692,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
58806,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
58924,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
131162,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
132009,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
